latitude,longitude,floorSize,url,address,price
40.727524,-73.859069,,https://www.zillow.com/homedetails/96-11-65th-Rd-APT-603-Rego-Park-NY-11374/114313103_zpid/,"96-11 65th Rd APT 603, Rego Park, NY 11374","$349,000"
40.600748,-74.123061,"1,988",https://www.zillow.com/homedetails/455-Gower-St-Staten-Island-NY-10314/32292180_zpid/,"455 Gower St, Staten Island, NY 10314","$965,000"
40.598355,-73.946019,"2,381",https://www.zillow.com/homedetails/4247-Bedford-Ave-Brooklyn-NY-11229/30744905_zpid/,"4247 Bedford Ave, Brooklyn, NY 11229","$1,099,000"
40.764035,-73.730419,"2,080",https://www.zillow.com/homedetails/5342-Browvale-Ln-Flushing-NY-11362/32095687_zpid/,"5342 Browvale Ln, Flushing, NY 11362","$1,450,000"
40.739409,-73.81195,"1,352",https://www.zillow.com/homedetails/5941-156th-St-Flushing-NY-11355/32070979_zpid/,"5941 156th St, Flushing, NY 11355","$899,000"
40.739541,-73.761394,750,https://www.zillow.com/homedetails/212-04-73rd-Ave-APT-2M-Oakland-Gardens-NY-11364/79744967_zpid/,"212-04 73rd Ave APT 2M, Oakland Gardens, NY 11364","$235,000"
40.628717,-73.944614,"2,000",https://www.zillow.com/homedetails/1796-New-York-Ave-Brooklyn-NY-11210/30751851_zpid/,"1796 New York Ave, Brooklyn, NY 11210","$959,000"
40.831179,-73.871756,,https://www.zillow.com/homedetails/1256-Fteley-Ave-Bronx-NY-10472/2077285871_zpid/,"1256 Fteley Ave, Bronx, NY 10472","$1,100,000"
40.528194,-74.189843,"2,531",https://www.zillow.com/homedetails/145-Prall-Ave-Staten-Island-NY-10312/32367342_zpid/,"145 Prall Ave, Staten Island, NY 10312","$899,900"
40.794968,-73.9732,"1,777",https://www.zillow.com/homedetails/732-W-End-Ave-APT-3-New-York-NY-10025/122272911_zpid/,"732 W End Ave APT 3, New York, NY 10025","$2,500,000"
40.600429,-74.122671,"2,050",https://www.zillow.com/homedetails/468-Fanning-St-Staten-Island-NY-10314/32292210_zpid/,"468 Fanning St, Staten Island, NY 10314","$699,000"
40.908983,-73.901338,"1,672",https://www.zillow.com/homedetails/6032-Liebig-Ave-Bronx-NY-10471/29853745_zpid/,"6032 Liebig Ave, Bronx, NY 10471","$875,000"
40.596992,-74.100029,"2,355",https://www.zillow.com/homedetails/82-Greenport-St-Staten-Island-NY-10304/32294442_zpid/,"82 Greenport St, Staten Island, NY 10304","$1,400,000"
40.602476,-73.941934,"1,701",https://www.zillow.com/homedetails/2934-Avenue-T-Brooklyn-NY-11229/30743855_zpid/,"2934 Avenue T, Brooklyn, NY 11229","$788,000"
40.889138,-73.902915,"150,000",https://www.zillow.com/homedetails/3875-Waldo-Ave-APT-5S-Bronx-NY-10463/244445161_zpid/,"3875 Waldo Ave APT 5S, Bronx, NY 10463","$118,900"
40.57796,-73.84863,900,https://www.zillow.com/homedetails/128-11-Newport-Avenue-2C-Belle-Harbor-NY-11694/2101647250_zpid/,"128-11 Newport Avenue #2C, Belle Harbor, NY 11694","$287,000"
40.685804,-73.880432,"1,370",https://www.zillow.com/homedetails/18-Norwood-Ave-Brooklyn-NY-11208/30636789_zpid/,"18 Norwood Ave, Brooklyn, NY 11208","$625,000"
40.659336,-73.843743,"1,200",https://www.zillow.com/homedetails/84-29-153rd-Ave-4-H-Howard-Beach-NY-11414/2078367033_zpid/,"84-29 153rd Ave #4-H, Howard Beach, NY 11414","$386,000"
40.632937,-73.930873,810,https://www.zillow.com/homedetails/4711-Avenue-H-Brooklyn-NY-11234/30758061_zpid/,"4711 Avenue H, Brooklyn, NY 11234","$540,000"
40.604037,-73.7563,"1,800",https://www.zillow.com/homedetails/2206-Regina-Ave-Far-Rockaway-NY-11691/68315410_zpid/,"2206 Regina Ave, Far Rockaway, NY 11691","$550,000"
40.870168,-73.844672,"3,450",https://www.zillow.com/homedetails/3123-Seymour-Ave-Bronx-NY-10469/2084954840_zpid/,"3123 Seymour Ave, Bronx, NY 10469","$799,000"
40.61936,-73.943794,"2,596",https://www.zillow.com/homedetails/1314-E-32nd-St-Brooklyn-NY-11210/30755079_zpid/,"1314 E 32nd St, Brooklyn, NY 11210","$1,050,000"
40.880847,-73.912806,"1,560",https://www.zillow.com/homedetails/2764-Netherland-Ave-Bronx-NY-10463/29851628_zpid/,"2764 Netherland Ave, Bronx, NY 10463","$915,000"
40.689344,-73.951057,637,https://www.zillow.com/homedetails/277-Nostrand-Ave-1B-Brooklyn-NY-11216/79716248_zpid/,"277 Nostrand Ave #1B, Brooklyn, NY 11216","$625,000"
40.540557,-74.182538,"4,200",https://www.zillow.com/homedetails/331-Detroit-Ave-Staten-Island-NY-10312/32365177_zpid/,"331 Detroit Ave, Staten Island, NY 10312","$1,279,000"
40.833151,-73.894334,"1,400",https://www.zillow.com/homedetails/830-E-170th-St-Bronx-NY-10459/63264082_zpid/,"830 E 170th St, Bronx, NY 10459","$518,000"
40.718456,-73.881243,"1,530",https://www.zillow.com/homedetails/71-01-Penelope-Ave-Middle-Village-NY-11379/2078484319_zpid/,"71-01 Penelope Ave, Middle Village, NY 11379","$780,000"
40.706531,-74.01086,"1,576",https://www.zillow.com/homedetails/15-Broad-St-APT-1400-New-York-NY-10005/80004692_zpid/,"15 Broad St APT 1400, New York, NY 10005","$1,625,000"
40.849873,-73.862226,"2,786",https://www.zillow.com/homedetails/1935-Muliner-Ave-Bronx-NY-10462/29817429_zpid/,"1935 Muliner Ave, Bronx, NY 10462","$829,999"
